CID_A,drug_A,CID_B,drug_B,enzyme_gene,uniprot,direction,severity
3690,Ifosfamide,4594,Prilosec,CYP2C19,P33261,inhibition,Unknown
3690,Ifosfamide,4594,Prilosec,CYP3A4,P08684,induction,Unknown
5523,2-((Dimethylamino)methyl)-1-(3-methoxyphenyl)cyclohexanol,216239,Sorafenib,CYP3A4,P08684,inhibition,Moderate
3365,Fluconazole,123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
3365,Fluconazole,123631,Gefitinib,CYP2C9,P11712,inhibition,Moderate
5376,"(E,Z)-Tamoxifen",123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
5376,"(E,Z)-Tamoxifen",123631,Gefitinib,ABCB1 (P-gp),P08183,transporter_induction,Unknown
5376,"(E,Z)-Tamoxifen",123631,Gefitinib,CYP3A4,P08684,induction,Unknown
5376,"(E,Z)-Tamoxifen",123631,Gefitinib,CYP2C9,P11712,inhibition,Unknown
4485,Nifedipine,5978,Vincristine,CYP3A4,P08684,inhibition,Moderate
4485,Nifedipine,5978,Vincristine,CYP3A4,P08684,induction,Moderate
4485,Nifedipine,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
4485,Nifedipine,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_induction,Moderate
2265,Azathioprine,667490,6-Mercaptopurine,HPRT1,P00492,inhibition,Major
3510,(3H)granisetron,3690,Ifosfamide,CYP3A4,P08684,inhibition,Unknown
3510,(3H)granisetron,3690,Ifosfamide,CYP3A4,P08684,induction,Unknown
3749,Irbesartan,5426,Thalidomide,CYP1A2,P05177,inhibition,Unknown
2907,Cyclophosphamide,3339,Fenofibrate,CYP3A4,P08684,induction,Moderate
2907,Cyclophosphamide,3339,Fenofibrate,CYP2C9,P11712,inhibition,Moderate
2478,Busulfan,2907,Cyclophosphamide,CYP3A4,P08684,induction,Moderate
2478,Busulfan,2907,Cyclophosphamide,CYP3A4,P08684,inhibition,Moderate
3308,Etodolac,5376,"(E,Z)-Tamoxifen",CYP2C9,P11712,inhibition,Unknown
2375,Bicalutamide,3157,Doxazosin,CYP2C19,P33261,inhibition,Unknown
5291,Imatinib,5556,Triazolam,CYP2C9,P11712,inhibition,Moderate
2554,Carbamazepine,5978,Vincristine,CYP3A4,P08684,induction,Moderate
2554,Carbamazepine,5978,Vincristine,CYP3A4,P08684,inhibition,Moderate
2554,Carbamazepine,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
2554,Carbamazepine,5978,Vincristine,ABCB1 (P-gp),P08183,transporter_induction,Moderate
2187,Anastrozole,4917,Prochlorperazine,CYP3A4,P08684,inhibition,Unknown
5376,"(E,Z)-Tamoxifen",1349907,Methimazole,CYP3A4,P08684,induction,Unknown
5376,"(E,Z)-Tamoxifen",1349907,Methimazole,CYP1A2,P05177,inhibition,Unknown
3032,Arthrotec,3397,Flutamide,CYP1A2,P05177,inhibition,Unknown
1983,Acetaminophen,3062316,Dasatinib,ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
1983,Acetaminophen,3062316,Dasatinib,CYP3A4,P08684,induction,Unknown
1983,Acetaminophen,3062316,Dasatinib,CYP3A4,P08684,inhibition,Unknown
3348,Fexofenadine,216239,Sorafenib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
3348,Fexofenadine,216239,Sorafenib,CYP2D6,P10635,inhibition,Moderate
5426,Thalidomide,119607,Valdecoxib,PTGS2,P35354,inhibition,Unknown
4691,"3-(1,3-Benzodioxol-5-yloxymethyl)-4-(4-fluorophenyl)piperidine",93860,"Bortezomib, (1S,2R)-",CYP2C9,P11712,inhibition,Unknown
3793,Itrizole,5453,Thiotepa,CYP2B6,P20813,inhibition,Unknown
3961,Losartan,60198,Exemestane,CYP3A4,P08684,inhibition,Unknown
2375,Bicalutamide,152945,CID 152945,CYP3A4,P08684,inhibition,Moderate
3899,Leflunomide,104865,Bosentan,CYP2C9,P11712,induction,Major
3899,Leflunomide,104865,Bosentan,CYP2C9,P11712,inhibition,Major
2477,Buspirone,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Unknown
2477,Buspirone,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2477,Buspirone,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Unknown
2477,Buspirone,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Unknown
3157,Doxazosin,93860,"Bortezomib, (1S,2R)-",CYP2C19,P33261,inhibition,Unknown
3386,Fluoxetine,60198,Exemestane,CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,4236,Modafinil,CYP3A4,P08684,inhibition,Unknown
2662,Celecoxib,4236,Modafinil,CYP3A4,P08684,induction,Unknown
3121,Valproic Acid,3899,Leflunomide,CYP2C9,P11712,inhibition,Major
3152,Donepezil,123631,Gefitinib,CYP2C9,P11712,inhibition,Minor
2662,Celecoxib,5556,Triazolam,CYP2C9,P11712,inhibition,Unknown
2462,Respules,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Unknown
2462,Respules,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Unknown
3148,Anzemet,4212,Mitoxantrone,CYP3A4,P08684,inhibition,Major
3385,5-Fluorouracil,3825,Ketoprofen,ABCC4 (MRP4),O15439,transporter_inhibition,Unknown
3385,5-Fluorouracil,3825,Ketoprofen,CYP2C9,P11712,inhibition,Unknown
2550,1-(2-Methyl-3-sulfanylpropanoyl)proline,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Unknown
2550,1-(2-Methyl-3-sulfanylpropanoyl)proline,5376,"(E,Z)-Tamoxifen",CYP2D6,P10635,inhibition,Unknown
2550,1-(2-Methyl-3-sulfanylpropanoyl)proline,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Unknown
3657,Hydroxyurea,3658,Hydroxyzine,CYP2D6,P10635,inhibition,Unknown
5556,Triazolam,93860,"Bortezomib, (1S,2R)-",CYP3A4,P08684,inhibition,Unknown
3902,Letrozole,5523,2-((Dimethylamino)methyl)-1-(3-methoxyphenyl)cyclohexanol,CYP3A4,P08684,inhibition,Unknown
3488,Glibenclamide,60953,Capecitabine,CYP2C9,P11712,inhibition,Unknown
3016,Diazepam,3902,Letrozole,CYP3A4,P08684,inhibition,Unknown
3385,5-Fluorouracil,3957,Loratadine,CYP2C9,P11712,inhibition,Unknown
2375,Bicalutamide,3397,Flutamide,CYP3A4,P08684,inhibition,Unknown
2250,Atorvastatin EP Impurity B,3385,5-Fluorouracil,CYP2C9,P11712,inhibition,Unknown
2250,Atorvastatin EP Impurity B,3385,5-Fluorouracil,CYP2C9,P11712,induction,Unknown
3386,Fluoxetine,216239,Sorafenib,ABCB1 (P-gp),P08183,transporter_inhibition,Moderate
3386,Fluoxetine,216239,Sorafenib,CYP1A2,P05177,inhibition,Moderate
5426,Thalidomide,65999,Telmisartan,CYP2C19,P33261,inhibition,Unknown
3899,Leflunomide,5472,Ticlopidine,CYP1A2,P05177,inhibition,Unknown
2756,Cimetidine,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_induction,Major
2756,Cimetidine,5376,"(E,Z)-Tamoxifen",ABCB1 (P-gp),P08183,transporter_inhibition,Major
2756,Cimetidine,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,induction,Major
2756,Cimetidine,5376,"(E,Z)-Tamoxifen",CYP3A4,P08684,inhibition,Major
