enzyme,HPO,AE_name,observed,expected,log2FE,p,q
CYP2C9,HP:0008209,Premature ovarian insufficiency,98,70.8,0.47,0.0008274196367320376,0.011586872811483061
CYP2C9,HP:0000230,Gingivitis,295,245.9,0.26,0.0008675287417691713,0.011903357305750477
CYP2C9,HP:0000103,Polyuria,206,165.8,0.31,0.0009714874435753587,0.013128667725240425
CYP2C9,HP:0030160,Cervicitis,66,44.4,0.57,0.00098968622276217,0.013247900536976902
CYP2C9,HP:0002758,Osteoarthritis,486,423.2,0.2,0.0010254270487727092,0.013572861450364798
CYP2C9,HP:0002592,Gastric ulcer,318,268.2,0.25,0.001139901864119248,0.01458847915503607
CYP2C9,HP:0001019,Erythroderma,147,114.0,0.37,0.001148723857768007,0.014652863730275072
CYP2C9,HP:0010619,Fibroadenoma of the breast,28,15.1,0.89,0.0012633876856844228,0.016009814443181294
CYP2C9,HP:0001962,Palpitations,520,457.7,0.18,0.0016051677856872859,0.019089149205173416
CYP2C9,HP:0001061,Acne,190,153.7,0.31,0.0018029548980553656,0.021116426306012084
CYP2C9,HP:0000989,Pruritus,545,482.9,0.17,0.0021016416179320163,0.02389072015678601
CYP2C9,HP:0006530,Abnormal pulmonary interstitial morphology,325,278.1,0.23,0.0023425241553120288,0.02626379491326705
CYP2C9,HP:0005293,Venous insufficiency,112,85.4,0.39,0.0023848978373833315,0.026563775623880622
CYP2C9,HP:0004394,Multiple gastric polyps,95,70.7,0.43,0.002410031686847815,0.02676658755651381
CYP2C9,HP:0000371,Acute otitis media,30,17.3,0.79,0.0024747182172227444,0.027264710755002204
CYP2C9,HP:0100790,Hernia,200,164.4,0.28,0.002891578142696149,0.03095830892387982
CYP2C9,HP:0100013,Neoplasm of the breast,38,23.9,0.67,0.0034305773983695073,0.03544359082275554
CYP2C9,HP:0200123,Chronic hepatitis,61,42.7,0.52,0.0035050285394815014,0.03593351539813264
CYP2C9,HP:0002829,Arthralgia,751,683.2,0.14,0.004125958082636981,0.04057717045646802
CYP2C9,HP:0002671,Basal cell carcinoma,157,127.1,0.31,0.004266241588768715,0.04153406483776091
CYP2C9,HP:0100661,Trigeminal neuralgia,170,138.8,0.29,0.004306346732190139,0.04171436120279421
CYP2C9,HP:0000608,Macular degeneration,105,81.1,0.37,0.0046756029945276365,0.044025693448201085
CYP2C9,HP:0000646,Amblyopia,25,14.3,0.81,0.004738952611450246,0.044297188768835226
CYP2C9,HP:0001634,Mitral valve prolapse,142,114.1,0.32,0.004892663784424034,0.04466083792535445
CYP2C9,HP:0009763,Limb pain,751,685.1,0.13,0.005176703552558205,0.04663859960521553
CYP2C9,HP:0012387,Bronchitis,614,554.9,0.15,0.00538967523434845,0.048332006451871835
CYP2C9,HP:0100507,Decreased circulating folate concentration,43,28.6,0.59,0.005525223486731738,0.04943284438939391
CYP2C9,HP:0004334,Dermal atrophy,52,36.1,0.53,0.0055864988398793055,0.0498656305222483
CYP2D6,HP:0001959,Polydipsia,406,256.8,0.66,1.9007339717819262e-19,7.346336800937145e-16
CYP2D6,HP:0040141,Tardive dyskinesia,183,96.5,0.92,1.5995665083512055e-16,3.0911622773887043e-13
CYP2D6,HP:0000756,Agoraphobia,120,56.7,1.08,1.0752039032860183e-14,6.926105143667435e-12
CYP2D6,HP:0005978,Type II diabetes mellitus,627,474.9,0.4,2.291853830996098e-12,8.858015056799919e-10
CYP2D6,HP:0000738,Hallucinations,658,501.7,0.39,2.1106443099008835e-12,8.858015056799919e-10
CYP2D6,HP:0001993,Ketoacidosis,122,63.2,0.95,4.16658087871445e-12,1.4639850087483044e-09
CYP2D6,HP:0006280,Chronic pancreatitis,286,189.8,0.59,7.180977792898597e-12,2.134959936119468e-09
CYP2D6,HP:0003076,Glycosuria,254,165.3,0.62,1.5112586387389774e-11,3.6506341492038423e-09
CYP2D6,HP:0012330,Pyelonephritis,290,194.6,0.58,1.6776907940144847e-11,3.796837341368623e-09
CYP2D6,HP:0001370,Rheumatoid arthritis,356,250.2,0.51,3.089229922837634e-11,6.284144027246029e-09
CYP2D6,HP:0000709,Psychosis,358,256.5,0.48,2.5672035733038564e-10,4.510109914008821e-08
CYP2D6,HP:0011999,Paranoia,324,229.3,0.5,4.725609373375046e-10,7.024800087728674e-08
CYP2D6,HP:0004324,Increased body weight,817,665.6,0.3,1.888716947378971e-09,2.3548035489095878e-07
CYP2D6,HP:0001943,Hypoglycemia,629,497.7,0.34,2.077918766188453e-09,2.509736259786991e-07
CYP2D6,HP:0000713,Agitation,687,551.4,0.32,3.762467264387133e-09,4.27703999319302e-07
CYP2D6,HP:0001513,Obesity,413,311.4,0.41,6.1381702597717664e-09,6.411899474058886e-07
CYP2D6,HP:0100753,Schizophrenia,127,75.0,0.76,7.197139002227889e-09,7.320247958844945e-07
CYP2D6,HP:0007302,Bipolar affective disorder,306,221.0,0.47,1.018757442882615e-08,9.603652479856846e-07
CYP2D6,HP:0010535,Sleep apnea,495,385.3,0.36,1.372196576148572e-08,1.2333813411195887e-06
CYP2D6,HP:0012075,Personality disorder,179,117.4,0.61,2.1430834764221516e-08,1.8825040082662764e-06
CYP2D6,HP:0100786,Excessive daytime somnolence,320,235.4,0.44,2.852829559851976e-08,2.4502636108506417e-06
CYP2D6,HP:0002591,Polyphagia,309,228.4,0.44,7.662499746920527e-08,5.806972847421145e-06
CYP2D6,HP:0000643,Blepharospasm,317,237.2,0.42,1.5926325323125808e-07,1.0932975207649099e-05
